task,paradigm,replication,IC_s,MC_s,RC_s,VC_s
T1,python,1,116,10,18,13
T1,python,2,119,12,20,15
T1,python,3,122,11,19,14
T1,python,4,115,10,21,14
T1,python,5,118,12,17,14
T1,n8n,1,55,8,4,15
T1,n8n,2,60,10,5,17
T1,n8n,3,59,9,5,16
T1,n8n,4,57,9,6,16
T1,n8n,5,59,9,5,16
T1,ai,1,26,10,17,13
T1,ai,2,29,12,19,15
T1,ai,3,28,11,18,14
T1,ai,4,27,11,18,14
T1,ai,5,30,11,18,14
T2,python,1,181,15,21,13
T2,python,2,185,17,23,15
T2,python,3,184,16,22,14
T2,python,4,180,16,22,14
T2,python,5,185,16,22,14
T2,n8n,1,55,10,11,15
T2,n8n,2,58,12,13,17
T2,n8n,3,57,11,12,16
T2,n8n,4,57,11,12,16
T2,n8n,5,58,11,12,16
T2,ai,1,34,13,21,15
T2,ai,2,37,15,23,17
T2,ai,3,36,14,22,16
T2,ai,4,36,14,22,16
T2,ai,5,37,14,22,16
T3,python,1,125,21,27,18
T3,python,2,128,23,29,20
T3,python,3,127,22,28,19
T3,python,4,126,22,28,19
T3,python,5,129,22,28,19
T3,n8n,1,95,10,21,10
T3,n8n,2,98,12,23,12
T3,n8n,3,97,11,22,11
T3,n8n,4,97,11,22,11
T3,n8n,5,98,11,22,11
T3,ai,1,40,27,27,13
T3,ai,2,43,29,29,15
T3,ai,3,42,28,28,14
T3,ai,4,42,28,28,14
T3,ai,5,43,28,28,14
T4,python,1,291,20,22,27
T4,python,2,296,22,24,29
T4,python,3,294,21,23,28
T4,python,4,293,21,23,28
T4,python,5,296,21,23,28
T4,n8n,1,145,27,100,30
T4,n8n,2,148,29,104,32
T4,n8n,3,147,28,102,31
T4,n8n,4,147,28,102,31
T4,n8n,5,148,28,102,31
T4,ai,1,30,41,86,28
T4,ai,2,33,43,90,30
T4,ai,3,32,42,88,29
T4,ai,4,32,42,88,29
T4,ai,5,33,42,88,29
