task,paradigm,IC_mean,IC_sd,MC_mean,MC_sd,RC_mean,RC_sd,VC_mean,VC_sd,TWC_mean,TWC_sd
T1,python,118,4.2,11,1.8,19,2.1,14,1.5,162,5.8
T1,n8n,58,3.8,9,1.2,5,0.8,16,1.9,88,4.7
T1,ai,28,2.1,11,1.5,18,2.0,14,1.6,71,4.1
T2,python,183,5.6,16,1.9,22,2.4,14,1.4,235,6.9
T2,n8n,57,4.0,11,1.4,12,1.6,16,1.8,96,5.2
T2,ai,36,2.8,14,1.7,22,2.3,16,1.5,88,5.2
T3,python,127,5.2,22,2.5,28,3.0,19,2.2,196,7.1
T3,n8n,97,4.8,11,1.3,22,2.5,11,1.2,141,5.9
T3,ai,42,3.1,28,3.2,28,2.9,14,1.7,112,5.8
T4,python,294,8.9,21,2.3,23,2.6,28,3.1,366,10.7
T4,n8n,147,6.2,28,3.0,102,6.8,31,3.5,308,9.4
T4,ai,32,2.5,42,4.1,88,6.2,29,3.2,191,8.1
